parent_company_name,child_company_name
DELL INC,DELL USA L.P.
CATERPILLAR INC,CATERPILLAR FOREST PRODUCTS INC
WELLS FARGO & CO,"REDUS VA HOUSING, LLC"
COMCAST CORP,"COMCAST OF MARIN I, INC"
YAHOO INC,"YAHOO! INTERNATIONAL SERVICES HOLDINGS, INC"
KINDER MORGAN INC,COGENERATION LLC
AES CORP,"AES SOUTHINGTON, L.L.C. (CURRENT)"
PFIZER INC,"P-D CO., INC."
DANAHER CORP,WERMEX CORPORATION
PRAXAIR INC,AMKO SERVICE COMPANY
COMCAST CORP,"COMCAST OF MICHIGAN IV, LLC"
WEYERHAEUSER CO,OREGON TIMBER COMPANY
WALT DISNEY CO,WALT DISNEY WORLD CO
WALGREEN CO,BOND DRUG COMPANY OF ILLINOIS
FLUOR CORP,II FLUOR KAZAKHSTAN INC
SYSCO CORP,"SYSCO FOOD SERVICES OF MONTANA, INC"
ASSURANT INC,"UNION SECURITY DENTALCARE OF GEORGIA, INC"
WALT DISNEY CO,MIRAMAX FILM CORP
CIT GROUP INC,CIT FUNDING MEXICO LLC
SAFEWAY INC,"SAFEWAY STORES 42, INC"
RAYTHEON CO,RAYTHEON MEDITERRANEAN SYSTEMS COMPANY
WELLS FARGO & CO,WACHOVIA DEFEASANCE GSMSC II 2004-GG2 1410 BROADWAY LLC
WELLS FARGO & CO,WELLS FARGO FINANCIAL NATIONAL BANK
GENUINE PARTS CO,L.O.C.O.A. LAMINATING COMPANY OF AMERICA
AMERICAN TOWER CORP,"ATC TOWER SERVICES, INC"
VENTAS INC,"BCC READING REALTY GP, LLC"
CA INC,"CULLINET SOFTWARE, INC"
AES CORP,"AES PRESCOTT, L.L.C. (CURRENT)"
COMCAST CORP,"COMCAST OF INDIANA/MICHIGAN/PENNSYLVANIA, LLC"
SYMANTEC CORP,VERITAS SOFTWARE TECHNOLOGY CORPORATION
AMERICAN TOWER CORP,"HAYSVILLE TOWERS, L.L.C."
CIGNA CORP,"INTERNATIONAL REHABILITATION ASSOCIATES, INC. D/B/A INTRACORP"
AUTONATION INC,VALENCIA DODGE
SEALED AIR CORP,"CRYOVAC INTERNATIONAL HOLDINGS, INC"
ALLSTATE CORP,KSL MARKETING INC
DEAN FOODS CO,"SCHENKEL'S ALL-STAR DAIRY, LLC"
RYDER SYSTEM INC,"WESTSIDE CORPORATE CENTER, INC"
DOVER CORP,DATAMAX CORPORATION
COMCAST CORP,"COMCAST OF WASHINGTON V, LLC"
CORNING INC,"CORNING OAK HOLDING, INC"
KELLOGG CO,"AUSTIN QUALITY FOODS, INC"
WELLS FARGO & CO,"REDUS ILLINOIS, LLC"
DOVER CORP,"WISECO PISTON COMPANY, INC"
AMERICAN TOWER CORP,"ATC WESTWOOD, INC"
LENNAR CORP,"GARCO INVESTMENTS, LLC"
DELL INC,PEROT SYSTEMS APPLICATION SOLUTIONS INC
COMCAST CORP,"COMCAST/TIME WARNER SARANAC LAKE CABLE ADVERTISING, LLC"
KELLOGG CO,MCCAMLY PLAZA HOTEL INC
WELLS FARGO & CO,"FIT II GP, LLC"
CIT GROUP INC,"NORTH AMERICAN EXCHANGE, INC. / USA"
COMCAST CORP,"COMCAST IP PHONE OF VIRGINIA, LLC"
COMERICA INC,"VRB CATRON RANCH OWNER, LLC"
CA INC,"MIRAMAR SYSTEMS, INC"
CATERPILLAR INC,CATERPILLAR/SCB RECEIVABLES FINANCE LP
COMCAST CORP,"FPS RINK, L.P."
YAHOO INC,EBERT ACQUISITION CORP
KELLOGG CO,"SHAFFER, CLARKE & CO., INC."
SYSCO CORP,"SYSCO FOOD SERVICES OF NORTH DAKOTA, INC"
CARMAX INC,"CARMAX BUSINESS SERVICES, LLC"
YUM BRANDS INC,HOOSIER PIZZA HUT CO
VERISIGN INC,"R4 GLOBAL SOLUTIONS, INC"
NOBLE CORP,BAWDEN DRILLING INC.
AES CORP,"BUFFALO GAP WIND FARM, LLC"
CIT GROUP INC,"THE CIT GROUP FOUNDATION, INC. [NOT-FOR-PROFIT]"
COMCAST CORP,"COMCAST OF NEW MEXICO/PENNSYLVANIA, LLC"
CIT GROUP INC,CIT MIDDLE MARKET LOAN TRUST II (TRUST)
DELL INC,DELL PRODUCTS NORTH CAROLINA L.P.
GENUINE PARTS CO,"POTAMAC CREEK AUTO SUPPLY, INC"
MOLEX INC,"MOLEX PREMISE NETWORKS, INC"
CARMAX INC,"CARMAX AUTO SUPERSTORES CALIFORNIA, LLC"
CITIGROUP INC,CITIINSURANCE INTERNATIONAL LIFE HOLDINGS I INC
RAYTHEON CO,"BEECHCRAFT UE-106 LEASING, INC"
AUTONATION INC,"AN CORPUS CHRISTI LP, LLC"
FLUOR CORP,"II FLUOR FEDERAL GLOBAL PROJECTS, INC"
AMERICAN TOWER CORP,"LODESTAR TOWER SOUTHEAST, INC"
ASSURANT INC,"JA SERVICES, INC"
XEROX CORP,XEROX FUNDING LLC II
AUTONATION INC,"TALLAHASSEE CHRYSLER PLYMOUTH, INC"
LENNAR CORP,"LNR MEADOWLARK, LLC"
CIT GROUP INC,"THE CIT GROUP/BUSINESS CREDIT, INC"
WELLS FARGO & CO,"HALLMARK MORTGAGE GROUP, LLC"
COMCAST CORP,"QVC SAN ANTONIO, INC"
NOBLE ENERGY INC,"NOBLE ENERGY PRODUCTION, INC"
LENNAR CORP,"ROSEVILLE SCHOOLS, LLC"
AUTONATION INC,"BEACON MOTORS, INC"
CONOCOPHILLIPS,CONOCO MONT BELVIEU HOLDINGS INC
AUTONATION INC,"AN MOTORS OF BROOKSVILLE, INC"
TORCHMARK CORP,LIBERTY NATIONAL LIFE INSURANCE COMPANY
COMCAST CORP,"COMCAST CABLEVISION OF PADUCAH, INC"
CITIGROUP INC,BASS LAKE JOINT VENTURE
MASCO CORP,"MASCO CABINETRY HOLDINGS, INC"
WELLS FARGO & CO,"WELLS FARGO OF CALIFORNIA INSURANCE SERVICES, INC"
HALLIBURTON CO,"HALLIBURTON ENERGY DEVELOPMENT (NORTH SEA), INC"
SYSCO CORP,"SYSCO HOUSTON, INC"
MASCO CORP,"LILIENTHAL INSULATION COMPANY, LLC"
BIG LOTS INC,"TOOL AND SUPPLY COMPANY OF NEW ENGLAND, INC"
CIT GROUP INC,TCC ATTALA OL LLC / USA
FIFTH THIRD BANCORP,THE FIFTH THIRD LEASING COMPANY
METLIFE INC,"METLIFE GENERAL INSURANCE AGENCY, INC"
COMCAST CORP,COMCAST CABLEVISION OF GARDEN STATE L.P.
APACHE CORP,APACHE NATURAL GAS TRANSPORTATION FUELS LLC
PFIZER INC,SHILEY INTERNATIONAL
STRYKER CORP,PHYSIOTHERAPY ASSOCIATES OF ARIZONA LLC
WELLS FARGO & CO,WELLS FARGO BANK INTERNATIONAL
WELLS FARGO & CO,"PACIFIC COAST HOME MORTGAGE, LLC"
RED HAT INC,SIERRA ACQUISITION CORP
DOVER CORP,"DE-STA-CO CYLINDERS, INC"
CITIGROUP INC,CITICORP TECHNOLOGY HOLDINGS INC
CONOCOPHILLIPS,CONOCO EQUITY INVESTMENTS INC
AMERICAN EXPRESS CO,MAXIMO PARTNERS
H&R BLOCK INC,"RSM EMPLOYER SERVICES AGENCY OF FLORIDA, INC"
CITIGROUP INC,"R-H CAPITAL, INC"
BEST BUY CO INC,"GARAGESALEPRO COMPANIES, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE FUNB-CHASE 1999-C2 III LLC
RYDER SYSTEM INC,RYDER FUNDING LP
AUTONATION INC,"LEW WEBB`S FORD, INC"
COMCAST CORP,"TCID-IP III, INC"
STERICYCLE INC,"MEDSOLUTIONS, INC"
HCA INC,"HEALTH SERVICES (DELAWARE), INC"
CITIGROUP INC,"TST MOUNTAIN BAY, L.L.C."
DOW CHEMICAL CO,DOW DEUTSCHLAND INC
XEROX CORP,"XEROX CAPITAL SERVICES, LLC"
ONEOK INC,"ONEOK PARTNERS GP, L.L.C."
CITIGROUP INC,SSBPIF GP CORP
ACE LTD,ACE FINANCIAL SERVICES INC./
TARGET CORP,"TARGET CORPORATE SERVICES, INC"
AMERICAN EXPRESS CO,UMPAWAUG II CORPORATION
LENNAR CORP,CONCORD PARK PARTNERSHIP
RAYTHEON CO,ERAPSCO
AUTONATION INC,"MEALEY HOLDINGS, INC"
WELLS FARGO & CO,FIRST CITIZENS SC CAPITAL TRUST II
AES CORP,"AES CAYUGA, L.L.C."
FIFTH THIRD BANCORP,FIFTH THIRD INTERNATIONAL COMPANY
COMCAST CORP,COMCAST MO CAPITAL CORPORATION
KROGER CO,"TOPVALCO, INC"
WELLS FARGO & CO,"ALTERNATIVE STRATEGIES GROUP, INC"
SYSCO CORP,"GUEST DISTRIBUTION SERVICES, INC"
TECO ENERGY INC,"TECO GAS SERVICES, INC"
PFIZER INC,"PHS SUB, INC"
WELLS FARGO & CO,"NUCOMPASS MORTGAGE SERVICES, LLC"
BMC SOFTWARE INC,"IT MASTERS, INC"
SYSCO CORP,"SYSCO FOOD SERVICES OF DENVER, INC"
COMCAST CORP,AUTOBYTEL.COM INC.
WELLS FARGO & CO,"GUARANTEE PACIFIC MORTGAGE, LLC"
WELLS FARGO & CO,"WINDWARD HOME MORTGAGE, LLC"
KROGER CO,"QUIK STOP MARKETS, INC"
DOVER CORP,NORTHERN LIGHTS FUNDING LP
CIT GROUP INC,"THE CIT GROUP/EQUIPMENT FINANCING, INC. / U.S."
CAREFUSION CORP,"ENTURICAN, INC"
DELL INC,DELL INTERNATIONAL INCORPORATED
WALGREEN CO,"TRINITY HOME CARE, LLC (A DELAWARE LLC ) IS"
COMCAST CORP,"COMCAST CABLEVISION OF WEST FLORIDA, INC"
CERNER CORP,"CERNER INNOVATION, INC"
ASSURANT INC,"INTERNATIONAL DENTAL PLANS, INC"
LENNAR CORP,"U.S. HOME OF COLORADO REAL ESTATE, INC."
FLUOR CORP,"II LONE STAR INFRASTRUCTURE, LLC"
GENUINE PARTS CO,"JOHNSON INDUSTRIES, INC"
WELLS FARGO & CO,FIRST FINANCIAL (CA) STATUTORY TRUST I
WELLS FARGO & CO,"FIT GP, LLC"
CIT GROUP INC,"CIT CHINA 3, INC. / USA"
AUTONATION INC,"PITRE CHRYSLER-PLYMOUTH-JEEP ON BELL, INC"
AUTONATION INC,"ELMHURST AUTO MALL, INC"
VERISIGN INC,"H.O. SYSTEMS, INC."
COMCAST CORP,"TCI SOUTHEAST DIVISIONAL HEADQUARTERS, INC"
AES CORP,"AES BV OPERATIONS, L.L.C."
COMCAST CORP,"COMCAST OF INDIANAPOLIS, L.P."
DANAHER CORP,U.S. PEROXIDE LLC
AES CORP,"AES WESTOVER, L.L.C."
DEAN FOODS CO,"SWISS PREMIUM DAIRY, LLC"
CORNING INC,TELAZTEC LLC
WELLS FARGO & CO,WACHOVIA DEFEASANCE LB UBS 2002-C2 II LLC
CITIGROUP INC,"CPI-SAGE HOTELS LESSEE MEZZ, LLC"
COMCAST CORP,"KTMA-TV, INC"
COMCAST CORP,"COMCAST IP PHONE OF NEW JERSEY, LLC"
CIGNA CORP,"CIGNA HEALTHCARE OF MAINE, INC"
PFIZER INC,PFIZER PRODUCTION LLC
DELL INC,DELL MARKETING USA LP L.L.C.
DEAN FOODS CO,"TERRACE DAIRY, LLC"
BAKER HUGHES INC,"BAKER HUGHES INTERNATIONAL BRANCHES, INC"
VENTAS INC,"VENTAS CASPER HOLDINGS, LLC"
WELLS FARGO & CO,"WELLS FARGO CAPITAL HOLDINGS, INC"
WALGREEN CO,"WALGREEN OF HAWAII, LLC"
DEERE & CO,"GEOVANTAGE, INC"
CONOCOPHILLIPS,PHILLIPS RETAIL MARKETING COMPANY
AUTONATION INC,"NAPERVILLE IMPORTS, INC"
CIT GROUP INC,"CIT CHINA 6, INC. / U.S."
LENNAR CORP,"LLT, LLC"
TORCHMARK CORP,AMERICAN INCOME LIFE INSURANCE COMPANY
GENERAL MILLS INC,"GENERAL MILLS SALES, INC"
METLIFE INC,"WALNUT STREET SECURITIES, INC"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL TENNESSEE 1, INC"
SEALED AIR CORP,SEALED AIR CORPORATION (US)
CONOCOPHILLIPS,"PHILLIPS-SAN JUAN PARTNERS, L.P."
WELLS FARGO & CO,"FIRST DIALWEST, INC"
FISERV INC,"J.O. ONE, LTD"
CIT GROUP INC,"THE CIT GROUP/BCC, INC. (ILL.) / U.S."
LENNAR CORP,"PINERY RETAIL CENTER & BUSINESS PARK, LLC"
AES CORP,"AES GPH HOLDINGS, INC. (CURRENT)"
DOW CHEMICAL CO,DOW CHEMICAL INTERNATIONAL LTD
AMPHENOL CORP,AMPHENOL CONNEX CORPORATION
VENTAS INC,DV GREENVILLE MOB LLC
WELLS FARGO & CO,WACHOVIA DEFEASANCE BACM 2002-2 LLC
FLUOR CORP,"II FLUOR CHILE, INC"
ALLSTATE CORP,"WILLOW LAKE HOLDINGS, LLC"
DUKE ENERGY CORP,"DETM MARKETING NORTHEAST, LLC"
LENNAR CORP,"NUHOME DESIGNS, LLC"
COMCAST CORP,"COMCAST STB SOFTWARE II, LLC"
HORMEL FOODS CORP,"HORMEL FOODS SALES, LLC"
STAPLES INC,"STAPLES VALUE, L.L.C."
AES CORP,"AES RIO DIAMANTE, INC. (CURRENT)"
PROCTER & GAMBLE CO,"ORAL-B LABORATORIES, G.P."
AMERICAN EXPRESS CO,AMERICAN EXPRESS BANK INTERNATIONAL
AMERICAN TOWER CORP,"SPECTRASITE COMMUNICATIONS, INC"
GENUINE PARTS CO,SHUSTER CORPORATION
RYDER SYSTEM INC,RYDER TRUCK RENTAL I LP
COMCAST CORP,"COMCAST NEWCO 3, INC"
MCDONALDS CORP,"MCDONALD'S RESTAURANTS OF MICHIGAN, INC"
COMCAST CORP,"COMCAST MO HOLDINGS II, INC"
DOVER CORP,"C-U ACQUISITION, INC"
AES CORP,"AES GPH, L.L.C. (CURRENT)"
AMERICAN EXPRESS CO,AMERICAN EXPRESS RECEIVABLES FINANCING CORPORATION VII LLC
WELLS FARGO & CO,"LUCINI/PARISH INSURANCE, INC"
HORMEL FOODS CORP,"STAGG FOODS, LLC"
DELL INC,DELL RECEIVABLES GP L.L.C.
LENNAR CORP,"LSC ASSOCIATES, JOINT VENTURE"
STRYKER CORP,STRYKER COMMUNICATIONS CORPORATION
VENTAS INC,"LHRET ASCENSION MICHIGAN, LLC"
DUKE ENERGY CORP,"THE GOLF CLUB AT SOUTH HAMPTON, LLC"
COACH INC,504-514 WEST 34 STREET CORP
FORD MOTOR CO,FORD - UAW HOLDINGS LLC
LENNAR CORP,"IMPERIAL DESERT HOMES, LLC"
PROCTER & GAMBLE CO,"PROCTER & GAMBLE NPD, INC"
CITIGROUP INC,"PRIMERICA FINANCIAL SERVICES OF KENTUCKY, INC"
WALGREEN CO,"INC. (A NORTH CAROLINA CORPORATION) AND 50% OWNED BY CAROLINA I.V. SERVICES, INC. (A NORTH CAROLINA CORPORATION)."
CUMMINS INC,"CUMMINS POWER SOUTH, LLC"
AUTONATION INC,"AUTO WEST, INC"
CIT GROUP INC,"FLEX LEASING I, LLC"
SYSCO CORP,"SYSCO RESOURCES SERVICES, LLC"
SAFEWAY INC,"SAFEWAY STORES 64, INC"
COMCAST CORP,"TCI BAY, INC"
COMCAST CORP,"COMCAST QCOM TV PARTNERS GP, LLC"
CAMPBELL SOUP CO,CAMPBELL EU INVESTMENT COMPANY
AES CORP,"AES DELANO, INC"
ALCOA INC,"IPC, INC"
CUMMINS INC,CUMMINS KOMATSU ENGINE COMPANY
LENNAR CORP,"MILL BRANCH ASSOCIATES, LLC"
MASCO CORP,MASCO FRAMING CORP
AUTONATION INC,"DESERT GMC, L.L.C."
FASTENAL CO,"FASTENAL AIR FLEET, LLC"
COMCAST CORP,"COMCAST FLORIDA PROGRAMMING INVESTMENTS, INC"
ONEOK INC,"ONEOK TEXAS ENERGY RESOURCES, L.P."
MONSANTO CO,"P4 PRODUCTION, LLC"
DEAN FOODS CO,VERIFINE DAIRY PRODUCTS CORPORATION
CIGNA CORP,"II. CIGNA GLOBAL HOLDINGS, INC."
WALGREEN CO,"SUBSIDIARY OF WALGREENS MAIL SERVICES, INC"
DTE ENERGY CO,MICHIGAN CONSOLIDATED GAS COMPANY
AES CORP,"AES NORTH AMERICA DEVELOPMENT, LLC"
MEADWESTVACO CORP,"MCB WOODLANDS AND SERVICES, INC"
LENNAR CORP,"LNC ENCLAVE, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE BSCMS 2003-TOP10 LLC
COMCAST CORP,"COMCAST NEWCO 9, INC"
WELLS FARGO & CO,"WFLC SUBSIDIARY, LLC"
CIT GROUP INC,CAPITA PREMIUM CORPORATION / U.S.
HALLIBURTON CO,"MAGIC EARTH, INC"
CITIGROUP INC,LUNA FALLS LLC
VENTAS INC,"KNOXVILLE NOMINEE, LLC"
CERADYNE INC,"BORON PRODUCTS, LLC"
DELL INC,DELL COMPUTER INDIA CORP
CITIGROUP INC,"URBAN PARK II, L.P."
CIT GROUP INC,"THE CIT GROUP/BCC, INC. (ILL.)"
WELLS FARGO & CO,"ALLIANCE GROUP LENDING, LLC"
PRAXAIR INC,"AMERICAN HOME OXYGEN AND HOSPITAL EQUIPMENT, INC"
WELLS FARGO & CO,"CAYMAN BAY APARTMENTS, LLC"
DANAHER CORP,"NET2NET, LLC"
HASBRO INC,HASBRO STUDIOS LLC
AES CORP,"AES GPH HOLDINGS, L.L.C. (CURRENT)"
CUMMINS INC,CONSOLIDATED DIESEL OF NORTH CAROLINA INC
AES CORP,AES ECOTEK CORPORATION
WELLS FARGO & CO,"MIDCITY COMMUNITY CDE-OPERATING FUND, LLC"
SYSCO CORP,"SYSCO MERGER OHIO II, INC"
EXPEDIA INC,CRUISESHIPCENTERS HOLDINGS INC
H&R BLOCK INC,"RSM MCGLADREY INSURANCE SERVICES, INC/"
COMCAST CORP,"ATHENA CABLEVISION OF TENNESSEE AND KENTUCKY, INC"
DEAN FOODS CO,MEADOW BROOK DAIRY COMPANY
DIRECTV,"V OPERATIONS, LLC"
CIT GROUP INC,"CIT GROUP SF HOLDING CO., INC. / USA"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL ACCEPTANCE KENTUCKY 1, INC"
WEYERHAEUSER CO,WILLAMETTE MEXICAN HOLDING COMPANY
AMAZON COM INC,"AMAZON.COM@TARGET.COM, INC."
DUKE ENERGY CORP,"DUKE ENERGY TRANSPORT AND TRADING COMPANY, LLC"
DOW CHEMICAL CO,DOW HOLDINGS LLC
COMCAST CORP,"COMCAST ARGENTINA, INC"
AES CORP,STAR NATURAL GAS COMPANY (CURRENT)
TECO ENERGY INC,"TECO COALBED METHANE FLORIDA, INC"
MASTERCARD INC,"MAESTRO U.S.A., INC."
GENERAL ELECTRIC CO,"GE FINANCIAL ASSURANCE HOLDINGS, INC"
DEAN FOODS CO,"DAIRY GROUP RECEIVABLES, L.P."
CITIGROUP INC,"TISHMAN SPEYER/CITIGROUP ALTERNATIVE INVESTMENTS ASSOCIATES V (DOMESTIC), L.L.C."
WELLS FARGO & CO,WACHOVIA DEFEASANCE FULB II 1997-C2 LLC
CIT GROUP INC,"SOVEREIGN ACII, LLC"
HORMEL FOODS CORP,"OSCEOLA FOODS, INC"
AUTONATION INC,"R.L. BUSCHER II, INC."
WELLS FARGO & CO,WELLS FARGO CAPITAL VII
LENNAR CORP,"COLONIAL HERITAGE, LLC"
DANAHER CORP,FLOW MEASUREMENT CORPORATION
MEDTRONIC INC,"SURGICAL NAVIGATION TECHNOLOGIES, INC"
SYSCO CORP,"RED'S MARKET, INC"
GENUINE PARTS CO,"1ST CHOICE AUTO PARTS, INC"
SYMANTEC CORP,ON TECHNOLOGY CORPORATION
MASTERCARD INC,"MASTERCARD PUERTO RICO, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE GECCMC 2001-1 III LLC
WELLS FARGO & CO,"MORTGAGES UNLIMITED, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE GECMC 2004-C2 III LLC
CIT GROUP INC,SNAP-ON CREDIT LLC
WELLS FARGO & CO,"OSPREY ASSET MANAGEMENT, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE CSFB 2000-C1 LLC
COMCAST CORP,"FPS RINK, INC"
WELLS FARGO & CO,"FIRST MORTGAGE OF FLORIDA, LLC"
HASBRO INC,"HASBRO INTERNATIONAL, INC"
CATERPILLAR INC,CATERPILLAR FINANCIAL DEALER FUNDING LLC
WEYERHAEUSER CO,"WEYERHAEUSER CHINA, LTD"
H&R BLOCK INC,"THE TAX MAN, INC"
CATERPILLAR INC,CATERPILLAR COMMERCIAL ACCOUNT CORPORATION
EBAY INC,"EUREKA LABS, INC"
SYSCO CORP,"INTERNATIONAL FOOD GROUP, INC"
COMCAST CORP,"COMCAST NEWCO 5, INC"
AES CORP,"AES ARGENER I, LLC (CURRENT)"
DANAHER CORP,"DCI CONSOLIDATED INDUSTRIES, INC"
PROCTER & GAMBLE CO,"FREDERIC, LLC"
CONOCOPHILLIPS,KENAI TANKERS LLC
MURPHY OIL CORP,H. MURPHY REALTY INC.
CITIGROUP INC,"CITIGROUP FUND SERVICES, LLC"
AES CORP,"AES ISABELLA HOLDINGS, INC"
DANAHER CORP,"KERR IP, LLC"
AUTONATION INC,"CORPORATE PROPERTIES HOLDING, INC"
WALGREEN CO,"WALGREENS STORE NO. 3332, LLC"
AES CORP,"AES KEYSTONE WIND, L.L.C."
COMCAST CORP,"COMCAST COMMERCIAL SERVICES, INC"
PEPSICO INC,"FL HOLDING, INC"
METLIFE INC,THE TRAVELERS LIFE & ANNUITY REINSURANCE COMPANY
WALT DISNEY CO,"ABC KIDS SPC1, INC"
DELL INC,DELL CATALOG SALES GP L.L.C.
AMEREN CORP,"ELECTRIC ENERGY, INC."
LENNAR CORP,"CONCORD OAKS, INC"
EQUIFAX INC,"TALX CONFIRMATION , INC"
AMEREN CORP,CIM LEASING INC
COMCAST CORP,"E! ONLINE, INC"
DUKE ENERGY CORP,"TEXAS-LOUISIANA PIPELINE, LLC"
VENTAS INC,"BROOKDALE LIVING COMMUNITIES OF ILLINOIS-2960, LLC"
COMCAST CORP,"COMCAST OF HARBOR, LLC"
CITIGROUP INC,CMF CAPITAL FUND MANAGEMENT MASTER FUND L.P.
AES CORP,"AES SACEF INVESTMENT, LLC"
COMCAST CORP,COMCAST MO TELECOMMUNICATIONS CORP
CONOCOPHILLIPS,THE OIL SHALE CORPORATION
WELLS FARGO & CO,WACHOVIA DEFEASANCE WACHOVIA 2005-C16 LLC
VENTAS INC,"LHPT DC THE, LP"
WELLS FARGO & CO,"FINVERCON USA, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE GMAC 2003-C2 LLC
DEVON ENERGY CORP,"DEVON GAS SERVICES, L.P."
KLA TENCOR CORP,CANDELA INSTRUMENTS
DOW CHEMICAL CO,"MYCOGEN CROP PROTECTION, INC"
ONEOK INC,ONEOK NB COMPANY
COMCAST CORP,"COMCAST MO EXPRESS OF NEW ENGLAND, INC"
COMCAST CORP,"COMCAST OF SACRAMENTO III, LLC"
CUMMINS INC,"CUMMINS ENGINE HOLDING CO., INC."
LENNAR CORP,"CITY VIEW LENNAR HIGHLAND DELONGPRE, LLC"
COMCAST CORP,TCI PROGRAMMING HOLDING COMPANY III
FLUOR CORP,"IV SOLI-FLO MATERIAL TRANSFER, L.P."
COMCAST CORP,"LENFEST JERSEY, LLC"
LENNAR CORP,"BELLA OAKS, LLC"
AMPHENOL CORP,"AMPHENOL BORISCH TECHNOLOGIES, INC"
AUTONATION INC,"NEWPORT BEACH CARS, LLC"
FISERV INC,"DATA-CHAIN SOLUTIONS, INC"
CITIGROUP INC,"CPI-SAGE HOTELS ORLANDO OWNER, LLC"
METLIFE INC,"METLIFE TOWER RESOURCES GROUP, INC"
WELLS FARGO & CO,NATIONAL BANK OF ALASKA LEASING CORPORATION
CITIGROUP INC,"CFG 1, LLC"
YUM BRANDS INC,"PIZZA HUT OF ST. LOUIS, INC."
AES CORP,"AES COMMUNICATIONS LATIN AMERICA, INC. (CURRENT)"
AUTONATION INC,"AN CORPUS CHRISTI MOTORS, INC"
DOVER CORP,"RANDELL MANUFACTURING, INC"
SYSCO CORP,"SYSCO NORTH CENTRAL FLORIDA, INC"
PITNEY BOWES INC,FSL RISK MANAGERS INC
AUTONATION INC,RI MERGER CORP
WALGREEN CO,"CAPE FEAR HOME HEALTH SERVICE, INC"
COMCAST CORP,COMCAST CABLEVISION OF FORT WAYNE PARTNERSHIP
KELLOGG CO,"BDH FOODS, INC"
COMCAST CORP,"UNITED CABLE TELEVISION OF PICO RIVERA, INC"
COMCAST CORP,"COMCAST ABB OVERSEAS HOLDINGS, INC"
METLIFE INC,METLIFE INVESTORS INSURANCE COMPANY
COMCAST CORP,COMCAST CABLEVISION CORPORATION OF CONNECTICUT
ECOLAB INC,ECOLABTHREE LLC
LENNAR CORP,"U.S. HOME REALTY, INC."
LENNAR CORP,"LENH I, LLC"
AMERICAN TOWER CORP,"AMERICAN TOWER GUARANTOR SUB, LLC"
WHIRLPOOL CORP,WHIRLPOOL LATIN AMERICA CORPORATION
WELLS FARGO & CO,"MERCY HOUSING GEORGIA I, L.L.L.P."
AMERICAN TOWER CORP,"VERESTAR NETWORKS, INC"
WELLS FARGO & CO,"CFC ACUSHNET AVENUE, LLC"
AMERICAN EXPRESS CO,AMERICAN EXPRESS INSURANCE AGENCY OF NEW MEXICO INC
COMCAST CORP,"COMCAST MO PROGRAMMING PARTNERS I, INC"
BB&T CORP,"BB&T INSURANCE SERVICES, INC"
COMCAST CORP,"QVC MIDDLE EAST, INC"
ALLSTATE CORP,"ALLSTATE NON-INSURANCE HOLDINGS, INC"
AMERICAN TOWER CORP,ATC MEXICO HOLDING CORP
WELLS FARGO & CO,"WFRBD, LLC"
DOVER CORP,"DOVER INDUSTRIES, INC"
AUTONATION INC,"DEALERSHIP ACCOUNTING SERVICES, INC"
DUKE ENERGY CORP,"CLEAN ENERGY PARTNERS, LP"
COMCAST CORP,"COMCAST OF HOWARD COUNTY, LLC"
AMEREN CORP,ESE LAND CORPORATION
WELLS FARGO & CO,"WACHOVIA GUARANTEED TAX CREDIT FUND V-F/M, LLC"
LENNAR CORP,"WILLOW SPRINGS PROPERTIES, L.L.C."
COMCAST CORP,"COMCAST OF CONNECTICUT II, INC"
AUTONATION INC,"SUTHERLIN IMPORTS, INC"
WELLS FARGO & CO,"THE THIRTY-EIGHT HUNDRED FUND, LLC"
CITIGROUP INC,SMITH BARNEY LIFE AGENCY INC
CIT GROUP INC,CIT LENDING SERVICES CORPORATION
SEMCO ENERGY INC,SUB-SURFACE CONSTRUCTION CO
WELLS FARGO & CO,WACHOVIA DEFEASANCE LB-UBS 2003-C5 LLC
AUTONATION INC,"G.B. IMPORT SALES & SERVICE HOLDING, LLC"
AES CORP,"AES BLUE TECH UNIT 1, LLC"
EXPEDIA INC,SMARTER TRAVEL MEDIA LLC
WELLS FARGO & CO,"WELLS FARGO CENTRAL PACIFIC HOLDINGS, INC"
WELLS FARGO & CO,"ATC REALTY NINE, INC"
H&R BLOCK INC,OPTION ONE LOAN WAREHOUSE CORPORATION
COMCAST CORP,COMCAST-SPECTACOR FOUNDATION
NOBLE ENERGY INC,PATINA BNR CORPORATION
COMCAST CORP,"COMCAST OF COLORADO, LP"
MASCO CORP,"MASCO CONTRACTOR SERVICES EAST, INC"
CONOCOPHILLIPS,BURLINGTON RESOURCES (U.K.) LLC
CONOCOPHILLIPS,PHILLIPS UTILITY GAS CORPORATION
FLUOR CORP,II ST. JOE EGYPT EXPLORACION CORP.
MASCO CORP,"MY SERVICE CENTER, INC"
YUM BRANDS INC,"TCL, INC"
